#n_clusters: 0, n_segment_len: 0
3.299516036154437337e-01,6.029296449510399003e-02
3.374584908256484939e-01,1.602619233491010819e-01
2.716829661396924500e-01,1.646352777382857902e-01
5.073750436591868418e-01,3.928722690574602133e-02
3.487086997712116609e-01,1.550614620722248586e-02
3.070211266768460567e-01,4.442461139501319156e-02
1.314511739506136312e+00,8.256530762107766597e-01
1.947150285068995623e-01,8.133866396554778611e-02
1.999012982825001949e-01,2.923344708501123337e-02
3.828885476943558741e-01,1.230354798557546092e-01
#n_clusters: 0, n_segment_len: 1
3.960587755044724934e-01,5.792154942299992948e-02
3.992322777082132346e-01,1.866266654132395231e-01
2.967911026885691750e-01,2.025797467012102893e-01
6.973694248030728460e-01,5.497153295502561765e-02
3.726354608853657546e-01,3.609223894538249322e-02
4.076090500184821330e-01,3.201955799303052991e-02
1.511628892364955679e+00,8.949386633760645360e-01
2.269750626362377899e-01,1.120586901738455238e-01
2.782555816526248726e-01,6.043319573846829551e-02
4.683711902643802882e-01,1.616379056363444477e-01
#n_clusters: 0, n_segment_len: 2
4.410720859484717482e-01,5.627430704647401472e-02
4.684817102217654905e-01,2.075210995248874535e-01
3.256135622220159287e-01,2.271576726364264998e-01
9.077146718713680063e-01,6.127545063822468357e-02
4.594061267776364255e-01,3.550725996955050173e-02
5.055666549882824601e-01,1.708347795738392530e-02
1.668983914230651067e+00,9.608687103186426270e-01
2.841299528389845119e-01,1.065980547622061569e-01
3.128450009738344972e-01,6.554500961448965490e-02
5.874122721997693253e-01,1.935529707920402298e-01
#n_clusters: 0, n_segment_len: 3
4.721073683131710164e-01,5.408849855934771966e-02
5.231191633053334789e-01,2.289797601467901400e-01
3.490163853983931364e-01,2.339363443214686755e-01
1.103612890750221176e+00,6.239669649472255608e-02
6.090226460916244866e-01,6.844120584010665587e-02
6.013374424983822797e-01,3.484288774140067296e-02
1.836610579264602583e+00,1.031684254792541777e+00
3.021283125215814547e-01,1.165324584540911312e-01
3.633105890709420471e-01,8.558404269166006162e-02
6.985868109772185308e-01,2.271066609798251812e-01
#n_clusters: 0, n_segment_len: 4
5.766641846632103441e-01,4.721499418995261932e-02
6.417303124223008304e-01,2.688050334393180529e-01
4.382645223389822764e-01,2.474756777809771768e-01
1.432958914344427681e+00,6.344595769968520982e-02
9.246916682454510150e-01,8.966961507928608577e-02
7.734466529013218627e-01,8.269922031046531008e-02
2.142761671854987782e+00,1.169376693054810401e+00
3.633964541420377503e-01,1.496207163395134598e-01
4.159714959749473140e-01,1.033092612319739256e-01
8.965999465165814808e-01,2.803295326156209355e-01
#n_clusters: 0, n_segment_len: 5
8.285714068421008438e-01,3.487220613851055306e-02
8.142043956013258477e-01,2.615709869896089557e-01
6.819144050406648061e-01,2.483428677835444465e-01
1.689243363457549663e+00,6.672096571596602965e-02
1.094429986918975972e+00,1.165252490371651989e-01
8.910804394893799829e-01,1.080209964837706010e-01
2.288134245100707176e+00,1.160263563435553591e+00
4.972777719331085144e-01,2.404966187783282305e-01
5.159880984007568783e-01,8.426589729710866339e-02
1.063724268382636451e+00,3.139125885029604990e-01
#n_clusters: 0, n_segment_len: 6
8.060309343704958884e-01,1.083110799563893889e-01
8.155388860026507869e-01,2.881680424728785272e-01
7.066211970971650880e-01,2.656242388851898784e-01
1.642004630126545850e+00,8.945527379126960721e-02
1.053559420584326167e+00,1.107784305432471111e-01
9.312257607745082488e-01,7.354567189467647870e-02
2.677530656530427322e+00,1.540516778346477267e+00
5.113678649404013177e-01,2.598945425292081279e-01
5.812585675659079909e-01,7.540855312763221352e-02
1.074057751542134120e+00,2.749958942586163135e-01
#n_clusters: 1, n_segment_len: 0
2.663629247795561428e-01,6.329522003320484091e-02
