#n_clusters: 0, n_segment_len: 0
6.460925458802263543e-02,3.504548657134781697e-02
2.513169641177485092e-01,1.441380569202275475e-01
3.658686474728990723e-02,7.775801795421902543e-03
1.549296084178455046e-01,2.148427598953008000e-02
9.246829181971423506e-02,1.980247028239159879e-02
2.960438699596551482e-02,1.593490065383936991e-02
3.081506130257367915e-02,1.465239506546424375e-02
9.670773460863460458e-02,3.575651461881858284e-02
1.794384940276480198e-02,6.570813902019648212e-03
9.575870879543703362e-02,8.983760061908293085e-03
#n_clusters: 0, n_segment_len: 1
8.085743446980542259e-02,4.383095065539978352e-02
3.084182405420523021e-01,1.755943091444449877e-01
4.376247994663192559e-02,1.070392023951731095e-02
2.106822197481772463e-01,2.728257210131766058e-02
1.160425069714373231e-01,2.192980298534981387e-02
2.904562088640077686e-02,1.101336239945606768e-02
3.879242862813335468e-02,1.854298216274934130e-02
1.221036982035657859e-01,4.809393986030834067e-02
2.144717564522828981e-02,4.874571963538999742e-03
1.172799731568598958e-01,1.868685431840841002e-02
#n_clusters: 0, n_segment_len: 2
9.310422021412637084e-02,4.869618113205651661e-02
3.307505023742605132e-01,1.807860159364846897e-01
5.066667899406022274e-02,1.292786219309008042e-02
2.387773998101198614e-01,3.209217167980286251e-02
1.322880428472710257e-01,1.957130801283068350e-02
3.265019631211116269e-02,1.073963461877021179e-02
4.776637184343176384e-02,1.971352091920912028e-02
1.387113140600391981e-01,5.297593905185907920e-02
2.502601776415781798e-02,4.225767979419653951e-03
1.363841445636784500e-01,2.249729023315371473e-02
#n_clusters: 1, n_segment_len: 0
6.401628913576581925e-02,3.483288942580053255e-02
2.484484336310860131e-01,1.426757558996976927e-01
3.539983931644637843e-02,7.931972245807819219e-03
1.547524003907375378e-01,2.098454657384580396e-02
9.212682056883601811e-02,2.008888154972820334e-02
2.857895686010182568e-02,1.592120470848751995e-02
3.036291885843247010e-02,1.429838806260664251e-02
9.621713373731974328e-02,3.568736924591189852e-02
1.776268086440543556e-02,6.593803644065799469e-03
9.597467124421014961e-02,9.961880277519655907e-03
#n_clusters: 1, n_segment_len: 1
7.931466547321973370e-02,4.380092334633497314e-02
3.008977978684293508e-01,1.698692613300430421e-01
4.230998304104480884e-02,1.082311299950492953e-02
2.070930519550044091e-01,2.753060203109206766e-02
1.150735533796268112e-01,2.161268868469604781e-02
2.693801659112031802e-02,1.081521354237318169e-02
3.754230282099406402e-02,1.825375581524131888e-02
1.200249317254283854e-01,4.764602408495068747e-02
2.042094938061241385e-02,6.081183969963184846e-03
1.165472571739303714e-01,1.665412390827974987e-02
#n_clusters: 1, n_segment_len: 2
9.224256226642318923e-02,4.853890429807449641e-02
3.260253495757269304e-01,1.782654603324795861e-01
4.927024695453986053e-02,1.276754150829054364e-02
2.378664165853234813e-01,3.216662847714162055e-02
1.323306758684714979e-01,2.031416754584196641e-02
3.163574761473501862e-02,1.151435828679188075e-02
4.626238310747881471e-02,2.132449815649437377e-02
1.381885804393172268e-01,5.253964877457052707e-02
2.477880785844382983e-02,4.838734993847027162e-03
1.370828748859477808e-01,2.210004344007839711e-02
#n_clusters: 2, n_segment_len: 0
6.298288970192500447e-02,3.405544330829352734e-02
2.490485941991553154e-01,1.453932179925943591e-01
3.474312308399880173e-02,7.906068421277036296e-03
1.554433439723322818e-01,2.145959394853009378e-02
9.021460985964946389e-02,1.884851311018477180e-02
2.839842625235350013e-02,1.584882656687836358e-02
2.986554268786203656e-02,1.446005558898009850e-02
9.582791642384476394e-02,3.599031539073331565e-02
1.751271199954983551e-02,6.491883404773293384e-03
9.413220011771827878e-02,1.160528090585639070e-02
#n_clusters: 2, n_segment_len: 1
7.904854163507854525e-02,4.370354582052587283e-02
3.010015275779838184e-01,1.705744786420913817e-01
4.175068542538144800e-02,1.054318067621374047e-02
2.073020465780379684e-01,2.753733265043617831e-02
1.151623990572895884e-01,2.198049800851883950e-02
2.614300020130583962e-02,1.016058396676888104e-02
3.703528532237767429e-02,1.808359241803866174e-02
1.198795155183253330e-01,4.743447776407398037e-02
1.992692639828969048e-02,6.397829686833156164e-03
1.168603309041235799e-01,1.717314098483374227e-02
#n_clusters: 2, n_segment_len: 2
9.121206739016743392e-02,4.813189917177524563e-02
3.261218525689746350e-01,1.800391547678125426e-01
4.891678430516804843e-02,1.285892349505011328e-02
2.348997010722894685e-01,3.285133742969874315e-02
1.318007071797077101e-01,2.015345731545987659e-02
3.109716179009722539e-02,1.053773921429073182e-02
4.586306718713730607e-02,2.028570271014345713e-02
1.360476620177940577e-01,5.278622020802404419e-02
2.341120555562414482e-02,4.874450336113000069e-03
1.353286873502049514e-01,2.117173268479553838e-02
