#n_clusters: 0, n_segment_len: 0
3.828885476943558741e-01,1.230354798557546092e-01
3.299516036154437337e-01,6.029296449510399003e-02
1.947150285068995623e-01,8.133866396554778611e-02
3.374584908256484939e-01,1.602619233491010819e-01
1.314511739506136312e+00,8.256530762107766597e-01
1.999012982825001949e-01,2.923344708501123337e-02
2.716829661396924500e-01,1.646352777382857902e-01
3.487086997712116609e-01,1.550614620722248586e-02
5.073750436591868418e-01,3.928722690574602133e-02
3.070211266768460567e-01,4.442461139501319156e-02
#n_clusters: 0, n_segment_len: 1
4.683711902643802882e-01,1.616379056363444477e-01
3.960587755044724934e-01,5.792154942299992948e-02
2.269750626362377899e-01,1.120586901738455238e-01
3.992322777082132346e-01,1.866266654132395231e-01
1.511628892364955679e+00,8.949386633760645360e-01
2.782555816526248726e-01,6.043319573846829551e-02
2.967911026885691750e-01,2.025797467012102893e-01
3.726354608853657546e-01,3.609223894538249322e-02
6.973694248030728460e-01,5.497153295502561765e-02
4.076090500184821330e-01,3.201955799303052991e-02
#n_clusters: 0, n_segment_len: 2
5.874122721997693253e-01,1.935529707920402298e-01
4.410720859484717482e-01,5.627430704647401472e-02
2.841299528389845119e-01,1.065980547622061569e-01
4.684817102217654905e-01,2.075210995248874535e-01
1.668983914230651067e+00,9.608687103186426270e-01
3.128450009738344972e-01,6.554500961448965490e-02
3.256135622220159287e-01,2.271576726364264998e-01
4.594061267776364255e-01,3.550725996955050173e-02
9.077146718713680063e-01,6.127545063822468357e-02
5.055666549882824601e-01,1.708347795738392530e-02
#n_clusters: 0, n_segment_len: 3
6.985868109772185308e-01,2.271066609798251812e-01
4.721073683131710164e-01,5.408849855934771966e-02
3.021283125215814547e-01,1.165324584540911312e-01
5.231191633053334789e-01,2.289797601467901400e-01
1.836610579264602583e+00,1.031684254792541777e+00
3.633105890709420471e-01,8.558404269166006162e-02
3.490163853983931364e-01,2.339363443214686755e-01
6.090226460916244866e-01,6.844120584010665587e-02
1.103612890750221176e+00,6.239669649472255608e-02
6.013374424983822797e-01,3.484288774140067296e-02
#n_clusters: 1, n_segment_len: 0
3.005735310980162667e-01,1.029602290032774620e-01
2.663629247795561428e-01,6.329522003320484091e-02
1.506938944378274081e-01,5.966826065637848703e-02
2.750118518065671758e-01,1.437668659672696747e-01
1.157049116845287440e+00,7.635588787710654302e-01
1.555313173897764911e-01,1.926484384159523819e-02
2.265858018727077705e-01,1.409660353904730601e-01
2.323812735127961382e-01,2.520865090719238977e-02
3.448661454571720908e-01,3.435433799178650577e-02
2.390802826575310347e-01,3.032655742135082280e-02
#n_clusters: 1, n_segment_len: 1
4.249081966847658154e-01,1.459172162833911324e-01
3.551877453162992637e-01,6.020976203895136991e-02
2.039287139868981580e-01,9.605554879691123593e-02
3.625035177071962988e-01,1.742760326031085882e-01
1.406769565384530019e+00,8.669917557015146548e-01
2.254561367787511483e-01,4.166621868769470466e-02
2.918301477514942399e-01,1.733732454444755211e-01
3.452351335395126841e-01,3.041881097833260689e-02
6.099532718589538716e-01,5.016476446280513507e-02
3.636707776382023805e-01,3.214850284748695108e-02
#n_clusters: 1, n_segment_len: 2
5.745699113790625479e-01,2.051398715748442847e-01
3.492957579485698738e-01,6.237750739333131067e-02
2.137480109512172044e-01,8.312359450523801319e-02
4.335308089171424628e-01,2.162939218220358839e-01
1.642107803919061304e+00,9.782963409199449956e-01
2.659307226312414563e-01,5.404346106594553473e-02
2.921105989770528821e-01,1.686425880901254171e-01
4.769383558804392576e-01,3.330160102269394407e-02
9.138255680588842633e-01,6.098588983527219315e-02
4.862301824984487375e-01,3.467599471768401803e-02
#n_clusters: 1, n_segment_len: 3
7.140627042250746737e-01,2.400478955096948530e-01
4.215965968828787602e-01,5.749957274376213401e-02
2.716819275497583397e-01,9.875047154321843490e-02
5.086847619447407709e-01,2.300978656657536314e-01
1.802311122790410503e+00,1.050485785533466387e+00
3.002988843710448497e-01,7.598626015459743199e-02
3.259475154388609131e-01,2.128781410395916285e-01
6.756680257618438157e-01,8.519574132611895667e-02
1.145177731789511988e+00,6.095710120875516558e-02
6.064263934699286596e-01,6.285733178741180482e-02
#n_clusters: 2, n_segment_len: 0
2.705647422281479697e-01,9.419246759512055200e-02
2.595006907228892268e-01,6.341893414442541232e-02
1.417789729559950918e-01,6.012815674474931288e-02
2.568133973537105597e-01,1.333810360615982904e-01
1.079941344368253064e+00,7.271376589989269057e-01
1.409886446217925582e-01,1.812886955348903817e-02
2.200255877389772630e-01,1.396353433822297985e-01
2.027796137815602029e-01,2.429981404073455406e-02
2.880069694255207313e-01,3.273401641139284113e-02
2.139570381316833192e-01,2.414830925519262719e-02
#n_clusters: 2, n_segment_len: 1
4.062764846473974623e-01,1.420537243400316341e-01
3.334777977115652714e-01,6.160410702006718919e-02
1.876232237980568207e-01,8.969176168321613130e-02
3.445068979063053427e-01,1.740333764081373191e-01
1.372374072719746652e+00,8.578459017468996750e-01
2.057561149955992597e-01,3.584129803569240796e-02
2.789576245520917763e-01,1.625043814453765723e-01
3.292482898245511769e-01,3.060704877285440675e-02
5.776980997987104516e-01,4.877518492934571764e-02
3.509653832598556011e-01,3.739804112077861620e-02
#n_clusters: 2, n_segment_len: 2
5.352902053653003644e-01,1.902578053392813273e-01
3.258198414178291591e-01,6.396992976247506402e-02
2.029098849565682539e-01,7.222303712960465027e-02
4.088904763897399652e-01,2.083943564471294474e-01
1.576212100134655625e+00,9.430494446053505619e-01
2.391897806078203403e-01,4.719424787121672543e-02
2.888951604375350479e-01,1.546666797185108633e-01
4.673012222559473905e-01,2.723741369251108171e-02
8.375990495151253157e-01,5.831936421661525205e-02
4.616866158010871080e-01,4.565896311481709019e-02
#n_clusters: 2, n_segment_len: 3
6.884102156786886528e-01,2.328218655739946463e-01
3.398976648403267964e-01,6.333981316583048304e-02
2.115775846607001187e-01,7.572008329342430621e-02
4.742654018087480994e-01,2.411071303808251243e-01
1.775909368860907556e+00,1.043842063460524328e+00
2.749940267345293288e-01,6.418873699994828708e-02
3.018300050137192048e-01,1.595136496907839652e-01
6.526864069703796067e-01,6.256268355830890693e-02
1.102992442084367752e+00,5.927624276730515673e-02
5.881068779328844087e-01,7.106395590550314278e-02
#n_clusters: 3, n_segment_len: 0
2.571443844979284243e-01,9.218432980914292862e-02
2.303851103916736420e-01,6.372616457369834064e-02
1.221292078477121817e-01,4.901229062257040497e-02
2.422583632637478335e-01,1.340548793398763094e-01
1.055657393977155856e+00,7.173494956435936265e-01
1.242958567564889927e-01,1.513828952351125093e-02
1.944133727502339315e-01,1.324200315208398093e-01
2.015653728607567918e-01,1.841544285343509058e-02
2.700495379561748122e-01,3.260061421026017731e-02
2.044637310895887072e-01,2.847373890581129247e-02
#n_clusters: 3, n_segment_len: 1
3.892110738268750314e-01,1.380486879256498933e-01
3.217123618655405859e-01,6.262563003938048656e-02
1.779548882345832472e-01,8.663501549867148877e-02
